JSLL	score=83.4	ROA=40.6(extreme)
ICICIAMC	score=81.7	ROA=69.9(extreme)
ETL	score=81.2	ROA=40.7(extreme)
WEBELSOLAR	score=80.5	ROA=41.9(extreme)
WAAREEINDO	score=80.2	ROA=84.3(extreme)
TIPSMUSIC	score=79.2	ROA=61.8(extreme)
KSOLVES	score=76.8	ROA=58.0(extreme)
DHARARAIL	score=72.1	ROA=42.5(extreme)
SANOFICONR	score=69.6	ROA=49.1(extreme)
OSWALPUMPS	score=69.5	ROA=46.4(extreme)
SACHEEROME	score=68.6	ROA=44.3(extreme)
VIVIDEL	score=66.4	ROA=40.8(extreme)
TEAMTECH	score=63.9	ROA=43.4(extreme)
KIRIINDUS	score=54.4	ROA=91.5(extreme)
JSWDULUX	score=53.9	ROA=58.9(extreme)
DEVIT	score=50.0	ROA=48.6(extreme)
ROLLT	score=34.7	ROA=48.1(extreme)
SHAHALLOYS	score=31.5	ROA=53.6(extreme)
